ERROR 2025-06-09 18:58:48,280 views Error processing video 3: FFmpeg conversion failed: Command '['ffmpeg', '-i', '/var/folders/15/whgv0bxd1pndzmyr972k171w0000gn/T/tmp0ei12su4/input.mp4', '-profile:v', 'baseline', '-level', '3.0', '-start_number', '0', '-hls_time', '10', '-hls_list_size', '0', '-f', 'hls', '-filter_complex', '[0:v]split=3[v1][v2][v3]', '-map', '[v1]', '-s:v:0', '640x360', '-c:v:0', 'h264', '-b:v:0', '800k', '-map', '[v2]', '-s:v:1', '842x480', '-c:v:1', 'h264', '-b:v:1', '1400k', '-map', '[v3]', '-s:v:2', '1280x720', '-c:v:2', 'h264', '-b:v:2', '2800k', '-map', '0:a', '-c:a', 'aac', '-b:a', '128k', '-var_stream_map', 'v:0,a:0,name:360p v:1,a:0,name:480p v:2,a:0,name:720p', '-master_pl_name', 'master.m3u8', '-f', 'hls', '-hls_segment_filename', '/var/folders/15/whgv0bxd1pndzmyr972k171w0000gn/T/tmp0ei12su4/hls/a686b5e4-f9c7-460c-82a6-ad3def090186_%v/segment_%03d.ts', '/var/folders/15/whgv0bxd1pndzmyr972k171w0000gn/T/tmp0ei12su4/hls/a686b5e4-f9c7-460c-82a6-ad3def090186_%v/playlist.m3u8']' returned non-zero exit status 234.
INFO 2025-06-09 19:04:17,525 storage_backends Getting available name for: videos/thumbnails/referral_qr_AHSII146.png
INFO 2025-06-09 19:04:17,805 storage_backends Saving file: videos/thumbnails/referral_qr_AHSII146.png
INFO 2025-06-09 19:04:17,805 storage_backends Cleaned file name: media/referral_qr_AHSII146.png
INFO 2025-06-09 19:04:17,928 storage_backends File saved successfully: media/referral_qr_AHSII146.png
INFO 2025-06-09 19:04:17,928 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:04:17,976 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:04:17,976 storage_backends Cleaned file name: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:04:21,181 storage_backends File saved successfully: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
ERROR 2025-06-09 19:04:23,091 views Error processing video 4: FFmpeg conversion failed with return code 234
INFO 2025-06-09 19:08:49,087 storage_backends Getting available name for: videos/thumbnails/referral_qr_AHSII146.png
INFO 2025-06-09 19:08:49,354 storage_backends Saving file: videos/thumbnails/referral_qr_AHSII146.png
INFO 2025-06-09 19:08:49,355 storage_backends Cleaned file name: media/referral_qr_AHSII146.png
INFO 2025-06-09 19:08:49,450 storage_backends File saved successfully: media/referral_qr_AHSII146.png
INFO 2025-06-09 19:08:49,451 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:08:49,492 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:08:49,492 storage_backends Cleaned file name: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:08:52,213 storage_backends File saved successfully: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
ERROR 2025-06-09 19:08:56,428 views Error processing video 5: FFmpeg conversion failed with return code 254
INFO 2025-06-09 19:12:49,019 storage_backends Getting available name for: videos/thumbnails/referral_qr_AZRJZ138.png
INFO 2025-06-09 19:12:49,305 storage_backends Saving file: videos/thumbnails/referral_qr_AZRJZ138.png
INFO 2025-06-09 19:12:49,305 storage_backends Cleaned file name: media/referral_qr_AZRJZ138.png
INFO 2025-06-09 19:12:49,428 storage_backends File saved successfully: media/referral_qr_AZRJZ138.png
INFO 2025-06-09 19:12:49,428 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:12:49,481 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:12:49,481 storage_backends Cleaned file name: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:12:53,037 storage_backends File saved successfully: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
ERROR 2025-06-09 19:13:02,856 views Error processing video 6: Failed to upload /var/folders/15/whgv0bxd1pndzmyr972k171w0000gn/T/tmp406e1xxb/hls/hls/master.m3u8 to noonenews/videos/hls/6/hls/master.m3u8: An error occurred (AccessControlListNotSupported) when calling the PutObject operation: The bucket does not allow ACLs
INFO 2025-06-09 19:17:21,160 storage_backends Getting available name for: videos/thumbnails/referral_qr_AHSII146.png
INFO 2025-06-09 19:17:21,448 storage_backends Saving file: videos/thumbnails/referral_qr_AHSII146.png
INFO 2025-06-09 19:17:21,448 storage_backends Cleaned file name: media/referral_qr_AHSII146.png
INFO 2025-06-09 19:17:21,559 storage_backends File saved successfully: media/referral_qr_AHSII146.png
INFO 2025-06-09 19:17:21,560 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:17:21,605 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:17:21,605 storage_backends Cleaned file name: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:17:24,872 storage_backends File saved successfully: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 19:52:22,796 storage_backends Getting available name for: videos/thumbnails/Nagarkurnool.png
INFO 2025-06-09 19:52:23,091 storage_backends Saving file: videos/thumbnails/Nagarkurnool.png
INFO 2025-06-09 19:52:23,092 storage_backends Cleaned file name: media/Nagarkurnool.png
INFO 2025-06-09 19:52:23,347 storage_backends File saved successfully: media/Nagarkurnool.png
INFO 2025-06-09 19:52:23,348 storage_backends Getting available name for: videos/files/Duvvada_Interview_Part_-_1.mp4
INFO 2025-06-09 19:52:23,393 storage_backends Saving file: videos/files/Duvvada_Interview_Part_-_1.mp4
INFO 2025-06-09 19:52:23,394 storage_backends Cleaned file name: media/Duvvada_Interview_Part_-_1.mp4
INFO 2025-06-09 19:54:15,069 storage_backends File saved successfully: media/Duvvada_Interview_Part_-_1.mp4
ERROR 2025-06-09 20:26:22,244 views Error processing video 8: cannot schedule new futures after interpreter shutdown
INFO 2025-06-09 20:29:43,996 storage_backends Getting available name for: videos/thumbnails/referral_qr_AZRJZ138.png
INFO 2025-06-09 20:29:44,277 storage_backends Saving file: videos/thumbnails/referral_qr_AZRJZ138.png
INFO 2025-06-09 20:29:44,277 storage_backends Cleaned file name: media/referral_qr_AZRJZ138.png
INFO 2025-06-09 20:29:44,379 storage_backends File saved successfully: media/referral_qr_AZRJZ138.png
INFO 2025-06-09 20:29:44,379 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 20:29:44,420 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
